URL,list/product page,product name,price,discounted price,position,number of photos,flavor,ingredients,nutrition facts
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Cream Soda,$35.99,,6,,,,
https://drinkolipop.com/products/cream-soda,product page,Cream Soda,,,,8,Cream Soda,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Allulose Syrup, Natural Flavors, Lemon Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 19g 7% Dietary Fiber 9g 32% Total Sugars 3g Not applicable Includes 3g Added Sugars 6% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Strawberry Vanilla,$35.99,,7,,,,
https://drinkolipop.com/products/strawberry-vanilla,product page,Strawberry Vanilla,,,,8,Strawberry Vanilla,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Strawberry Juice Concentrate, Cassava Root Syrup, Apple Juice Concentrate, Lemon Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Natural Flavors. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 45 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 16g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Cherry Cola,$35.99,,8,,,,
https://drinkolipop.com/products/cherry-cola,product page,Cherry Cola,,,,9,Cherry Cola,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Tart Cherry Juice Concentrate, Apple Juice Concentrate, Cassava Root Syrup, Natural Flavors, Lime Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Green Tea Caffeine*. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 35mg 2% Total Carbohydrate 17g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Orange Cream,$35.99,,9,,,,
https://drinkolipop.com/products/orange-cream,product page,Orange Cream,,,,8,Orange Cream,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Clementine Juice Concentrate, Cassava Root Syrup, Mandarin Juice Concentrate, Apple Juice Concentrate, Lemon Juice Concentrate, Stevia Leaf*, Himalayan Pink Salt, Natural Flavors. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 30mg 1% Total Carbohydrate 17g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 2g Added Sugars 4% Protein 0g Not applicable Vitamin C 20% Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkolipop.com/?srsltid=AfmBOopuvIIZsTR44Pp8FsU2dEIrn3jBeRAJ4nSR-RUDZ1r_9eGjjPFn,list page,Peaches & Cream,$35.99,,10,,,,
https://drinkolipop.com/products/peaches-and-cream,product page,Peaches & Cream,,,,9,Peaches & Cream,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Peach Juice Concentrate, Apricot Juice Concentrate, Cassava Root Syrup, Apple Juice Concentrate, Lemon Juice Concentrate, Natural Flavors, Stevia Leaf*, Himalayan Pink Salt. *Extract","Nutrition Facts 1 serving per container Serving information Serving size 1 Can (355mL) Amount per serving Nutrient Percent Daily Value Calories 50 % Daily Value* Total Fat 0g 0% Sodium 35mg 2% Total Carbohydrate 17g 6% Dietary Fiber 9g 32% Total Sugars 5g Not applicable Includes 1g Added Sugars 2% Protein 0g Not applicable Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, potassium and vitamin A."
https://drinkpoppi.com/collections/drinks,list page,Punch Pop,$29.88,,1,,,,
https://drinkpoppi.com/products/punch-pop,product page,Punch Pop,,,,1,Punch Pop,"Sparkling Water, Organic Cane Sugar, Cassava Root Fiber, Apple Juice Concentrate, Citric Acid, Natural Flavors, Organic Apple Cider Vinegar, Vegetable Juice Color, Organic Agave Inulin, Stevia Leaf Extract.","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3 11% Total Sugars 5g Includes 4g Added Sugars 8% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Shirley Temple,$19.95,,2,,,,
https://drinkpoppi.com/products/shirley-temple,product page,Shirley Temple,,,,1,Shirley Temple,"Sparkling Water, Cassava Root Fiber, Organic Cane Sugar, Apple Juice Concentrate, Natural Flavors, Vegetable Juice (color), Organic Apple Cider Vinegar, Citric Acid, Organic Agave Inulin, Stevia Leaf Extract.","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 3g Added Sugars 6% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Orange Cream,$23.97,,3,,,,
https://drinkpoppi.com/products/orange-cream,product page,Orange Cream,,,,1,Orange Cream,"Sparkling Water, Cassava Root Fiber, Apple Juice*, Organic Cane Sugar, Organic Apple Cider Vinegar, Natural Flavors, Citric Acid, Organic Agave Inulin, Stevia Leaf Extract, Orange Juice*, Beta Carotene (color). *Concentrate","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 3g Added Sugars 6% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Strawberry Lemon,$24.54,,4,,,,
https://drinkpoppi.com/products/strawberry-lemon,product page,Strawberry Lemon,,,,1,Strawberry Lemon,"Sparkling Water, Cassava Root Fiber, Organic Cane Sugar, Organic Apple Cider Vinegar, Natural Flavors, Lemon Juice*, Strawberry Juice*, Organic Agave Inulin, Stevia Leaf Extract, Vegetable Juice (color). *Concentrate","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 4g Added Sugars 8% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Cream Soda,$29.88,,5,,,,
https://drinkpoppi.com/products/cream-soda,product page,Cream Soda,,,,1,Cream Soda,"Sparkling Water, Cassava Root Fiber, Organic Cane Sugar, White Grape Juice Concentrate, Natural Flavors, Organic Apple Cider Vinegar, Organic Agave Inulin, Natural Lactic Acid, Stevia Leaf Extract, Natural Tartaric Acid.","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 3g Added Sugars 6% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Ginger Lime,$29.88,,6,,,,
https://drinkpoppi.com/products/ginger-lime,product page,Ginger Lime,,,,1,Ginger Lime,"Sparkling Water, Organic Cane Sugar, Cassava Root Fiber, Organic Apple Cider Vinegar, Lime Juice*, Natural Flavors, Lemon Juice*, Organic Agave Inulin, Stevia Leaf Extract, Ginger Extract. *Concentrate","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 4g Added Sugars 8% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Alpine Blast,$29.88,,7,,,,
https://drinkpoppi.com/products/alpine-blast,product page,Alpine Blast,,,,1,Alpine Blast,"Sparkling Water, Organic Cane Sugar, Cassava Root Fiber, Organic Apple Cider Vinegar, Natural Flavors, Apple Juice*, Lime Juice*, Organic Agave Inulin, Citric Acid, Stevia Leaf Extract, Acacia, Vegetable Juice & Turmeric for Color, Natural Caffeine, Citrus Pectin. *Concentrate","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 4g Added Sugars 8% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Doc Pop,$23.97,,8,,,,
https://drinkpoppi.com/products/doc-pop,product page,Doc Pop,,,,1,Doc Pop,"Sparkling Water, Organic Cane Sugar, Cassava Root Fiber, Natural Flavors, Apple Juice Concentrate, Organic Apple Cider Vinegar, Organic Agave Inulin, Stevia Leaf Extract, Tartaric Acid, Natural Caffeine.","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 3g Added Sugars 6% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Wild Berry,$35.99,,9,,,,
https://drinkpoppi.com/products/wild-berry-12oz,product page,Wild Berry,,,,1,Wild Berry,"Sparkling Water, Cassava Root Fiber, Organic Cane Sugar, Organic Apple Cider Vinegar, Apple Juice*, Citric Acid, Natural Flavors, Raspberry Juice*, Organic Agave Inulin, Vegetable Juice (color), Stevia Leaf Extract. *Concentrate","Serving Size 1 can Amount per serving Calories 30 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5 Includes 3 Added Sugars 6% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://drinkpoppi.com/collections/drinks,list page,Lemon Lime,$24.54,,10,,,,
https://drinkpoppi.com/products/lemon-lime,product page,Lemon Lime,,,,1,Lemon Lime,"Sparkling Water, Organic Cane Sugar, Cassava Root Fiber, Apple Juice*, Organic Apple Cider Vinegar, Natural Flavors, Citric Acid, Organic Agave Inulin, Stevia Leaf Extract, Lime Juice*, Lemon Juice*. *Concentrate","Serving Size 1 can Amount per serving Calories 35 % Daily Value* Total Fat 0g 0% Sodium 0mg 0% Total Carbohydrate 9g 3% Dietary Fiber 3g 11% Total Sugars 5g Includes 4g Added Sugars 8% Protein 0g Not a significant source of saturated fat, trans fat, cholesterol, vitamin D, calcium, iron, and potassium."
https://www.coca-cola.com/us/en/brands/simply/products/pop#shop,list page,Simply® Pop Raspberry Prebiotic Soda,,,1,,,,
https://www.coca-cola.com/us/en/brands/simply/products/pop,product page,Simply® Pop Raspberry Prebiotic Soda,,,,2,Raspberry,"CARBONATED WATER, PEAR, APPLE, AND CRANBERRY JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, RASPBERRY AND LEMON JUICES FROM CONCENTRATE, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS.","Nutrition Facts Serving Size 12 fl oz (355 mL) Value Percentage Calories 60 Total Fat 0g 0% Sodium 25mg 1% Total Carbohydrates 18g 7% - Dietary Fiber 6g 21% - Total Sugars 9g - Includes Added Sugars 0g 0% Protein 0g Iron 0.3mg 2% Potassium 90mg 2% Vitamin C 20% Zinc 20% INGREDIENTS CARBONATED WATER, PEAR, APPLE, AND CRANBERRY JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, RASPBERRY AND LEMON JUICES FROM CONCENTRATE, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS. Not a significant source of sat. fat, trans fat, cholest., vit. D, calcium, iron an"
https://www.coca-cola.com/us/en/brands/simply/products/pop#shop,list page,Simply® Pop Strawberry Prebiotic Soda,,,2,,,,
https://www.coca-cola.com/us/en/brands/simply/products/pop,product page,Simply® Pop Strawberry Prebiotic Soda,,,,1,Strawberry,"CARBONATED WATER, PEAR, APPLE, CHERRY, STRAWBERRY, AND LEMON JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, SEA SALT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS.","Nutrition Facts Serving Size 12 fl oz (355 mL) Value Percentage Calories 60 Total Fat 0g 0% Sodium 25mg 1% Total Carbohydrates 18g 7% - Dietary Fiber 6g 21% - Total Sugars 10g - Includes Added Sugars 0g 0% Protein 0g Iron 0.5mg 2% Potassium 110mg 2% Vitamin C 20% Zinc 20% INGREDIENTS CARBONATED WATER, PEAR, APPLE, CHERRY, STRAWBERRY, AND LEMON JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, SEA SALT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS. Not a significant source of sat. fat, trans fat, cholesterol, vit. D and calcium."
https://www.coca-cola.com/us/en/brands/simply/products/pop#shop,list page,Simply® Pop Pineapple Mango Prebiotic Soda,,,3,,,,
https://www.coca-cola.com/us/en/brands/simply/products/pop,product page,Simply® Pop Pineapple Mango Prebiotic Soda,,,,1,Pineapple Mango,"CARBONATED WATER, PEAR, APPLE, AND PINEAPPLE JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LEMON JUICE FROM CONCENTRATE, MANGO PUREE FROM CONCENTRATE, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS.","Nutrition Facts Serving Size 12 fl oz (355 mL) Value Percentage Calories 60 Total Fat 0g 0% Sodium 25mg 1% Total Carbohydrates 18g 6% - Dietary Fiber 6g 21% - Total Sugars 10g - Includes Added Sugars 0g 0% Protein 0g Potassium 100mg 2% Vitamin C 20% Zinc 20% INGREDIENTS CARBONATED WATER, PEAR, APPLE, AND PINEAPPLE JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LEMON JUICE FROM CONCENTRATE, MANGO PUREE FROM CONCENTRATE, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS. Not a significant source of sat. fat, trans fat, cholest, vit. D, calcium and ir"
https://www.coca-cola.com/us/en/brands/simply/products/pop#shop,list page,Simply® Pop Fruit Punch Prebiotic Soda,,,4,,,,
https://www.coca-cola.com/us/en/brands/simply/products/pop,product page,Simply® Pop Fruit Punch Prebiotic Soda,,,,1,Fruit Punch,"CARBONATED WATER, PEAR, PINEAPPLE, CHERRY, AND LEMON JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS.","Nutrition Facts Serving Size 12 fl oz (355 mL) Value Percentage Calories 50 Total Fat 0g 0% Sodium 25mg 1% Total Carbohydrates 17g 6% - Dietary Fiber 6g 21% - Total Sugars 9g - Includes Added Sugars 0g 0% Protein 0g Iron 0.6mg 4% Potassium 100mg 2% Vitamin C 20% Zinc 20% INGREDIENTS CARBONATED WATER, PEAR, PINEAPPLE, CHERRY, AND LEMON JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS. Not a significant source of sat. fat, trans fat, cholest., vit. D and calcium."
https://www.coca-cola.com/us/en/brands/simply/products/pop#shop,list page,Simply® Pop Citrus Punch Prebiotic Soda,,,5,,,,
https://www.coca-cola.com/us/en/brands/simply/products/pop,product page,Simply® Pop Citrus Punch Prebiotic Soda,,,,1,Citrus Punch,"CARBONATED WATER, PEAR, APPLE, CLARIFIED PEACH, ORANGE, AND LEMON JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS, BETA-CAROTENE.","Nutrition Facts Serving Size 12 fl oz (355 mL) Value Percentage Calories 60 Total Fat 0g 0% Sodium 25mg 1% Total Carbohydrates 19g 7% - Dietary Fiber 6g 21% - Total Sugars 10g - Includes Added Sugars 0g 0% Protein 0g Potassium 100mg 2% Vitamin C 20% Zinc 20% INGREDIENTS CARBONATED WATER, PEAR, APPLE, CLARIFIED PEACH, ORANGE, AND LEMON JUICES FROM CONCENTRATE, SOLUBLE CORN FIBER, LESS THAN 0.5% OF: MONK FRUIT EXTRACT, VITAMIN C (ASCORBIC ACID), ZINC GLUCONATE, NATURAL FLAVORS, BETA-CAROTENE. Not a significant source of sat. fat, trans fat, cholest., vit. D, calcium and iron."
